"Day","Temp","community","Nutrient","BioRep","PFU"
22,"18","meso-oligo","WHM",2,214795
22,"18","meso-oligo","WHM",3,293603
22,"22","meso-oligo","WHM",4,681436
22,"22","meso-oligo","WHM",5,374982
22,"22","meso-oligo","WHM",6,350983
22,"18","meso","WHM_5N",1,215613
22,"18","meso","WHM_5N",2,190924
22,"18","meso","WHM_5N",3,226857
22,"22","meso","WHM_5N",4,185348
22,"22","meso","WHM_5N",5,174143
22,"22","meso","WHM_5N",6,206561
22,"18","meso-oligo","WHM_5N",1,207784
22,"18","meso-oligo","WHM_5N",2,305049
22,"18","meso-oligo","WHM_5N",3,349237
22,"22","meso-oligo","WHM_5N",4,263989
22,"22","meso-oligo","WHM_5N",5,302554
22,"22","meso-oligo","WHM_5N",6,329699
22,"18","meso","WHM_5P",1,185802
22,"18","meso","WHM_5P",2,212829
22,"18","meso","WHM_5P",3,236704
22,"22","meso","WHM_5P",4,184292
22,"22","meso","WHM_5P",5,229690
22,"22","meso","WHM_5P",6,168515
22,"18","meso-oligo","WHM_5P",1,192499
22,"18","meso-oligo","WHM_5P",2,221024
22,"18","meso-oligo","WHM_5P",3,182829
22,"22","meso-oligo","WHM_5P",4,238364
22,"22","meso-oligo","WHM_5P",5,519639
22,"22","meso-oligo","WHM_5P",6,272169
25,"18","meso","WHM",1,226252
25,"18","meso","WHM",2,218769
25,"18","meso","WHM",3,276569
25,"22","meso","WHM",4,254325
25,"22","meso","WHM",5,275358
25,"22","meso","WHM",6,289952
25,"18","meso-oligo","WHM",1,303006
25,"18","meso-oligo","WHM",2,219412
25,"18","meso-oligo","WHM",3,342435
25,"22","meso-oligo","WHM",4,342909
25,"22","meso-oligo","WHM",5,386422
25,"22","meso-oligo","WHM",6,375102
25,"18","meso","WHM_5N",1,210294
25,"18","meso","WHM_5N",2,243137
25,"18","meso","WHM_5N",3,205151
25,"22","meso","WHM_5N",4,271671
25,"22","meso","WHM_5N",5,206015
25,"22","meso","WHM_5N",6,198123
25,"18","meso-oligo","WHM_5N",1,231002
25,"18","meso-oligo","WHM_5N",2,204200
25,"18","meso-oligo","WHM_5N",3,225256
25,"22","meso-oligo","WHM_5N",4,252818
25,"22","meso-oligo","WHM_5N",5,306576
25,"22","meso-oligo","WHM_5N",6,391761
25,"18","meso","WHM_5P",1,200474
25,"18","meso","WHM_5P",2,210538
25,"18","meso","WHM_5P",3,230708
25,"22","meso","WHM_5P",4,203901
25,"22","meso","WHM_5P",5,229672
25,"22","meso","WHM_5P",6,237482
25,"18","meso-oligo","WHM_5P",1,185545
25,"18","meso-oligo","WHM_5P",2,180426
25,"18","meso-oligo","WHM_5P",3,138467
25,"22","meso-oligo","WHM_5P",4,256696
25,"22","meso-oligo","WHM_5P",5,304702
25,"22","meso-oligo","WHM_5P",6,254665
27,"18","meso","WHM",1,236304
27,"18","meso","WHM",2,572536
27,"18","meso","WHM",3,367272
27,"22","meso","WHM",4,817194
27,"22","meso","WHM",5,366711
27,"22","meso","WHM",6,516356
27,"18","meso-oligo","WHM",1,244978
27,"18","meso-oligo","WHM",2,317257
27,"18","meso-oligo","WHM",3,238151
27,"22","meso-oligo","WHM",4,399056
27,"22","meso-oligo","WHM",5,339492
27,"22","meso-oligo","WHM",6,387818
27,"18","meso","WHM_5N",1,1397114
27,"18","meso","WHM_5N",2,806590
27,"18","meso","WHM_5N",3,1041873
27,"22","meso","WHM_5N",4,287918
27,"22","meso","WHM_5N",5,156412
27,"22","meso","WHM_5N",6,227597
27,"18","meso-oligo","WHM_5N",1,305122
27,"18","meso-oligo","WHM_5N",2,280440
27,"18","meso-oligo","WHM_5N",3,234857
27,"22","meso-oligo","WHM_5N",4,334490
27,"22","meso-oligo","WHM_5N",5,376090
27,"22","meso-oligo","WHM_5N",6,404660
27,"18","meso","WHM_5P",1,387611
27,"18","meso","WHM_5P",2,303244
27,"18","meso","WHM_5P",3,315917
27,"22","meso","WHM_5P",4,271297
27,"22","meso","WHM_5P",5,289934
27,"22","meso","WHM_5P",6,311056
27,"18","meso-oligo","WHM_5P",1,292626
27,"18","meso-oligo","WHM_5P",2,289153
27,"18","meso-oligo","WHM_5P",3,228054
27,"22","meso-oligo","WHM_5P",4,369583
27,"22","meso-oligo","WHM_5P",5,326371
27,"22","meso-oligo","WHM_5P",6,410824
